dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Estonia_2015,Estonia,2015,0.68459,12.1,28,453.13,77.8,31,12.7,99.99726,7.5,6.126210999738749,19.16859477124184,310.2094767390712,85.44576448948106,30.999999999996458,12.7,110.30537409238869,Europe
Finland_1990,Finland,1990,0.7621,11.4,19.9,449.426,75.4,32.9,7.46,99.99699,10.725,4.47183202923311,15.165716040338335,342.5058842783545,76.23764220907546,32.89999999999445,10.463620230242956,99.99698999993453,Europe
Finland_1991,Finland,1991,0.76258,11,18.7,450.182,75.7,30.8,7.7,99.99717,10.7,4.247225552836788,14.260162476370116,343.2977788197282,75.77820887417336,30.799999999991577,10.487905599864067,99.99716999990062,Europe
Finland_1992,Finland,1992,0.61807,10.8,27.4,449.648,76,29.6,7.9,99.99677,10.725,4.565522659620394,16.935076168415566,277.91325288232673,76.39983946748771,29.59999999999935,10.38882261751814,99.99676999999701,Europe
Finland_1993,Finland,1993,0.6714,11.1,23.4,449.032,76.3,29.3,8.2,99.99689,10.75,4.360631137241479,15.710755476261376,301.47999799232855,76.30000000002535,29.30000000000313,10.484909031796976,99.99689000003696,Europe
Finland_1994,Finland,1994,0.66336,12.1,24.6,449.731,76.8,30.3,8.4,99.99698,10.775,4.47688304113675,16.318674465428387,298.33389374052473,76.80000000003307,30.300000000004083,10.526139130523557,99.99698000004821,Europe
Finland_1995,Finland,1995,0.67724,11.4,24.4,448.92,76.9,31.5,8.6,99.99715,10.8,4.566848401699044,16.5246757090995,304.026943415284,76.9000000000249,31.500000000003073,10.504834780009766,99.99715000003631,Europe
Finland_1996,Finland,1996,0.69096,12.5,24.1,449.43,77.2,32.5,8.8,99.99674,10.56,4.620268368255049,16.652064729682394,310.53682371229803,77.20000000003316,32.5000000000041,10.545949980072963,99.99674000004833,Europe
Finland_1997,Finland,1997,0.70912,12.2,24.1,448.07,77.3,34.5,8.9,99.99751,10.32,4.78965915856177,17.089755219139725,317.7347145660669,77.30000000001444,34.50000000000178,10.483923042717866,99.99751000002104,Europe
Finland_1998,Finland,1998,0.70406,11.5,25.8,440.66,77.6,36.3,9,99.99778,10.08,5.036023307681,18.164767018867256,310.2514044394727,77.60000000002572,36.30000000000317,10.409942223204204,99.9977800000375,Europe
Finland_1999,Finland,1999,0.66216,11.4,29.5,444.24,77.8,37.8,9.2,99.99752,9.84,5.311422108742224,19.533684822367817,294.15742866063323,77.93510166033322,37.79999999999971,10.327304067841322,99.9975199999987,Europe
Finland_2000,Finland,2000,0.68101,11,29.6,439.3,78,39.9,9.3,99.99741,9.6,5.496666786184182,20.15789955139136,299.1677457069669,78.31663267184544,39.899999999999665,10.312976510321768,99.99740999999844,Europe
Finland_2001,Finland,2001,0.63357,12,33.6,447.51,78.4,40.8,9.4,99.99737,9.533333333333331,5.696728674319029,21.28790657457261,283.52830568993335,78.71911971404933,40.79999999999707,10.276333083243664,99.9973699999654,Europe
Finland_2002,Finland,2002,0.63074,12.5,34.4,444.23,78.6,41.4,9.5,99.99749,9.466666666666669,5.781999518413119,21.697419025605324,280.19315272458425,78.89228162993047,41.399999999989596,10.264080271669016,99.99748999987725,Europe
Finland_2003,Finland,2003,0.61244,13.9,36.5,446.52,78.8,42.2,9.6,99.99828,9.4,5.911179101424002,22.354077347981033,273.4669210247406,79.15425289450802,42.19999999999097,10.243898625824649,99.99827999989344,Europe
Finland_2004,Finland,2004,0.64294,13.2,37.3,446.57,79,43.7,11.9,99.99769,9.4,8.142300012767835,23.981667259887246,287.11777877350056,80.59800449904529,43.699999999999996,11.9,99.99769000004459,Europe
Finland_2005,Finland,2005,0.65416,10.9,37.8,444.7,79.3,44.8,12,99.99813,9.5,7.13036852790532,24.727333059425533,290.90595269531707,85.91423787075546,44.80000000237122,12.000000000660854,107.22624992601578,Europe
Finland_2006,Finland,2006,0.6492,13,38.7,447.86,79.6,46.4,12,99.99816,9.2,8.244051813575416,25.123962773336707,290.7498182870007,83.64183952325146,46.40000000065078,12.00000000013356,103.49704544288849,Europe
Finland_2007,Finland,2007,0.65667,12.6,39.9,441.43,79.7,48.7,12,99.9979,9.2,8.133230530256908,26.201214652865914,289.8747414602183,87.13048874445022,48.70000000066078,12.00000000013561,107.69548723954355,Europe
Finland_2008,Finland,2008,0.67456,11,39.1,443.21,80,48.8,12.2,99.99788,9.3,7.420213596747704,26.37548651134165,298.97389711256676,86.82649239151355,48.80000000251952,12.200000000702186,107.53627713576742,Europe
Finland_2009,Finland,2009,0.67083,10.5,36.3,453.48,80.2,44.7,12.2,99.99823,9.3,7.043664665682963,24.350954986492127,304.20581453333887,86.83432947594065,44.70000000214527,12.200000000597884,108.66282223387581,Europe
Finland_2010,Finland,2010,0.69878,12,34.8,445.1,80.4,45.9,12.3,99.9982,9.2,8.385348926098333,24.31751188568517,311.02656725064287,83.26610158136168,45.9,12.3,103.29414567629976,Europe
Finland_2011,Finland,2011,0.69975,10.5,35.3,452.18,80.7,46.8,12.3,99.99819,9.3,7.347370943836337,24.701161362915297,316.41278032304206,87.45734574958757,46.80000000256682,12.300000000715368,109.07024236239008,Europe
Finland_2012,Finland,2012,0.70701,9.47,35,448.09,80.9,46,12.4,99.99866,9.4,6.695422938520391,24.745491325048967,316.80592022415874,86.73329428893629,46,12.400000000000002,108.44394997848077,Europe
Finland_2013,Finland,2013,0.69107,9.52,35.5,451.81,81.2,45.3,12.3,99.9986,9.3,6.578979788031504,24.532960344025046,312.2320229024965,86.01514532199408,45.3,12.300000000000002,107.61499405397475,Europe
Finland_2014,Finland,2014,0.70452,8.73,35.1,443.62,81.4,45,12.4,99.9986,9.4,6.150481245412646,24.728739027947746,312.5402623242905,85.72674429584933,45,12.400000000000002,107.40467516839298,Europe
France_1990,France,1990,0.834,7.08,17,448.96,77.2,33.7,7.33,99.99896,7.6,4.317522202476248,14.177980576121767,374.43212702678886,77.20000000000002,33.70000000000001,10.747950177365652,100.46856657142686,Europe
France_1991,France,1991,0.82855,7.5,17.4,448.81,77.4,33.9,7.5,99.99895,7.7,4.362671887670432,14.416686729537975,371.8593776481928,77.40000000022987,33.9000000001516,10.757263279372694,100.65369335219142,Europe
France_1992,France,1992,0.78229,7.28,19.9,448.44,77.6,34.3,7.8,99.999019,7.8,4.546464309423128,15.567490050645693,350.8083034327303,77.6,34.3,10.687264650554077,100.53148953354861,Europe
France_1993,France,1993,0.80179,6.9,18.8,448.43,77.8,33.9,8.1,99.99895,7.9,4.459313387038917,15.073714936747542,359.54819090861514,77.80000000023199,33.90000000015301,10.766491557885395,101.00902306770175,Europe
France_1994,France,1994,0.80709,6.79,18.9,448.87,78,34.6,8.4,99.9989,8,4.520035581577483,15.253928364508521,362.27676322610216,78.00000000022995,34.60000000015166,10.773630532819173,101.16063992973896,Europe
France_1995,France,1995,0.77103,6.88,21.1,448.52,78.2,35.2,8.8,99.99898,8.033333333333333,4.694129512347722,16.268807899309692,345.8239677249941,78.20000000023842,35.20000000015725,10.712197723307447,101.06038735059497,Europe
