dmu,women_in_parliament,basic_sanitation,basic_water_source,electricity,employment_rate,material_footprint,forest_area,mean_years_in_school,air_pollution,health_worker,red_list,life_expectancy,income,income_share_20,CO2,murder
Egypt_2015,14.9,95.8,99.1,99.3,41.7,4.88,0.0486,7.1,0.8216999769210815,88.21338653564453,0.92,69.9,10.6,9.1,2.37,0.166
Spain_2015,39.7,99.9,99.9,100,45.6,23.3,37.1,9.7,3.82669997215271,10.449102401733398,0.85,82.8,37.4,5.8,5.81,0.557
Estonia_2015,23.8,99.1,99.8,100,58.4,28,55.7,12.7,3.4151999950408936,7.003727436065674,0.99,77.8,31,7.5,12.1,2.74
United Kingdom_2015,26.8,99.1,100,100,59.1,22.7,13,12.8,5.486400127410889,10.754873275756836,0.96,81,45,7.4,6.42,0.192
Georgia_2015,9.4,86.6,95.8,100,57.8,8.47,40.6,12.7,5.005499839782715,24.25264549255371,0.89,73.3,12.6,6.7,2.38,1.7
Greece_2015,23,99,100,100,39.2,26.2,30.3,10.6,5.991399765014648,17.740556716918945,0.84,80.9,28.3,5.8,7.04,0.752
Hungary_2015,10.3,98,100,100,51.1,14.3,22.6,11.8,3.117799997329712,17.23213005065918,0.86,75.9,27.5,7.8,4.78,1.02
Iceland_2015,43.5,98.8,100,100,74,34.1,0.48,12.2,3.782599925994873,6.927968978881836,0.87,83.7,52.1,9.5,10.7,0.744
Israel_2015,24.8,100,100,100,60.8,23.8,7.62,13,6.68720006942749,22.779783248901367,0.72,82.7,37.3,5,8.15,1.7
Italy_2015,29.5,99.9,99.9,100,43,20.9,31.6,10.2,7.695899963378906,17.89144515991211,0.9,82.7,40.2,5.9,5.88,0.564
Lithuania_2015,22.6,92.3,96.6,100,53.9,34.9,34.9,13,4.299300193786621,12.455035209655762,0.99,74.7,30.7,6.1,4.48,3.66
Luxembourg_2015,25,97.6,99.9,100,55.4,105,36.5,12,2.922199964523315,11.006654739379885,0.98,82.3,113,7.4,16.5,0.711
Latvia_2015,22,91.5,98.5,100,54.1,21.7,54.6,12.8,3.165600061416626,13.968201637268066,0.99,75.1,26.6,7.1,3.65,4.26
Moldova_2015,19.4,76,88.6,100,42.5,3.54,11.8,11.6,2.483599901199341,17.079139709472656,0.94,72.1,10.4,9.7,1.18,4.02
Malta_2015,13.1,100,100,100,51.6,26.7,1.09,11.2,2.859800100326538,14.72246265411377,0.87,82.2,39.8,8.5,3.96,0.606
Netherlands_2015,34.7,97.7,100,100,59.7,26.8,10.8,12.1,3.4916999340057373,12.93210506439209,0.95,81.7,53,8.9,9.83,0.603
Norway_2015,40.5,98.1,100,100,62.1,37.6,33.2,12.5,4.394000053405762,7.242775440216064,0.95,82.4,63,9,8.72,0.389
Poland_2015,24.8,98.7,99.2,100,52.4,23.2,30.8,12.1,2.325200080871582,22.69131851196289,0.97,77.6,27.8,7.4,8.22,0.588
Serbia_2015,34,97.4,93.4,99.9,42.9,19.7,31.1,11,2.4602999687194824,26.95437812805176,0.95,75.1,15.6,4.4,4.93,1.17
Slovenia_2015,31.1,98.1,99.5,100,52.3,23.2,62,12,2.8148000240325928,17.12815284729004,0.93,81,33.8,9.6,6.58,0.56
Sweden_2015,44.2,99.3,99.8,100,59.2,31.8,68.7,12.4,4.188399791717529,6.322498321533203,0.99,82.5,50.9,8.2,4.41,1.08
Thailand_2015,10,97.1,99.3,99.6,68.6,14.4,39.3,7.6,0.4650999903678894,27.344566345214844,0.79,78.2,16.3,7.5,4.1,3.15
Turkey_2015,14.9,96.4,96.3,100,45.8,15.6,28.1,7.8,1.798799991607666,45.401554107666016,0.88,77.4,26,5.6,4.86,1.35
Austria_2016,29.5,100,100,100,56.9,32.3,47.1,12.1,5.1234002113342285,12.596816062927246,0.89,81.8,53.3,7.7,7.7,0.417
Cyprus_2016,16.7,99.4,99.8,100,54,27.1,18.7,12.1,1.950899958610535,16.95802116394043,0.99,80.7,36.5,8.2,6.29,1.23
Hungary_2016,11.1,98,100,100,52.9,14.6,22.6,11.9,3.231300115585327,15.885350227355955,0.86,76.3,28.2,8,4.87,0.809
Iceland_2016,44.4,98.8,100,100,75.4,34.4,0.485,12.4,3.88919997215271,6.607654094696045,0.87,83.8,54.7,9.4,10.5,0.246
Lithuania_2016,22.3,92.8,97.1,100,55.8,35.5,35,13,4.433800220489502,11.821615219116213,0.99,74.9,31.9,6,4.54,3.05
Mongolia_2016,15.8,63.2,81.7,89.8,55,13.4,9.1,10.1,2.8592000007629395,38.22281646728515,0.96,67.8,11,8,8.29,3.98
Netherlands_2016,35.6,97.7,100,100,59.9,27.2,10.9,12.1,3.546999931335449,12.025242805480955,0.94,81.7,53.8,8.8,9.81,0.567
Romania_2016,11.9,83.8,100,99.1,50.5,16.5,30.1,11,2.256500005722046,14.537062644958496,0.86,75.3,25.1,5.6,3.83,1.19
Thailand_2016,11.9,97.5,99.4,99.8,67.6,14.6,39.2,7.6,0.4449999928474426,26.258054733276367,0.79,78,16.8,7.3,4.07,2.58
