dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Australia_2004,Australia,2004,0.59498,19.3,42.3,443.01,80.9,41.5,11.8,99.999252,7.7,8.017460838174438,25.167599803092592,263.58152219300194,80.89999999997836,41.49999999999704,11.799999999997425,99.99942954697366,Oceania
Australia_2005,Australia,2005,0.59605,19.2,43,453.61,81.2,42.2,11.7,99.999016,7.575,8.231613725947321,25.63007762020846,270.373476960505,81.19999999999605,42.19999999999983,11.699999999999447,99.99946838021535,Oceania
Australia_2006,Australia,2006,0.66462,19.1,38.7,445.91,81.5,42.7,11.9,99.99878,7.45,8.43021227598423,25.72062339911271,296.3587384986423,81.49999999999623,42.699999999999825,11.899999999999471,99.99950568110539,Oceania
Australia_2007,Australia,2007,0.60383,19.2,45.6,444.8,81.5,44.1,12,99.999022,7.325,7.7731901892504425,27.534781556466783,268.58488676132504,81.50000000000136,44.1,12,99.9994866994551,Oceania
Australia_2008,Australia,2008,0.70485,19,37.7,445.72,81.7,44.7,12.3,99.99891,7.2,8.30055638520437,26.572939789798795,314.1668626818805,81.69999999999114,44.70000000000001,12.299999999998054,99.9995304859053,Oceania
Australia_2009,Australia,2009,0.67215,18.8,43.1,446.91,81.9,44.6,12.3,99.99883,7.25,6.5865457599395265,28.969754007522862,300.39147943160185,81.90000000000002,49.609736998361505,12.299999999999294,99.99932255042235,Oceania
Australia_2010,Australia,2010,0.71319,18.4,40.8,446.93,82.1,44.9,12.4,99.99899,7.3,6.42527608273808,29.098330407176036,318.7479610019408,82.10000000002532,50.79457057763719,12.400000000001933,99.9992938236407,Oceania
Australia_2011,Australia,2011,0.73862,18,40.9,445.31,82.3,45.4,12.5,99.99895,7.325,5.885416470266211,30.20942283526483,328.9134005567672,82.30000000000001,55.56735603873282,12.5,99.999446446765,Oceania
Australia_2012,Australia,2012,0.78056,17.8,41.5,446.28,82.6,46.4,12.6,99.99877,7.35,5.606428571428575,31.038571428571444,348.349857142857,82.6,58.57857142857141,12.599999999999996,99.99945231428572,Oceania
Australia_2013,Australia,2013,0.79734,17.1,41.2,446.54,82.7,46.7,12.6,99.99894,7.375,5.7947670250896905,30.90681003584218,356.0421362007188,82.70000000000002,58.081720430107175,12.599999999999993,99.99945068817202,Oceania
Australia_2014,Australia,2014,0.81239,16.7,42.1,445.69,82.7,47.2,12.7,99.99898,7.4,5.575000000000003,31.09000000000003,362.0730000000004,82.70000000000002,59.65000000000002,12.7,99.99945039999999,Oceania
Australia_2015,Australia,2015,0.83121,16.8,42.5,446.53,82.7,47.6,12.8,99.99889,7.4,5.518571428571432,30.8914285714286,371.16114285714315,82.70000000000002,60.47142857142858,12.799999999999997,99.99949048571428,Oceania
Austria_1990,Austria,1990,0.82326,8.08,19.7,449.608,76,37.5,8.64,99.99838,9.371428571428572,5.2324820303606145,16.21820393456859,370.14386977733574,76.69076627241293,37.5,10.488926925845398,99.99838000000487,Europe
Austria_1991,Austria,1991,0.80048,8.49,21.5,449.793,76.1,38.4,8.7,99.99876,9.028571428571428,5.582886763019709,17.210235345973725,360.0485296265841,76.63974692599396,38.400000000000006,10.402586907460066,99.99876000000677,Europe
Austria_1992,Austria,1992,0.76885,7.72,23.3,449.239,76.3,38.8,8.7,99.99859,8.685714285714285,5.516794497010487,17.914240625261176,345.39809202797016,77.21207172607463,38.8,10.409743893147038,99.99859000000463,Europe
Austria_1993,Austria,1993,0.78719,7.71,22.3,449.409,76.5,38.7,8.8,99.99868,8.342857142857143,5.555553527629634,17.55425168179391,353.76855130328784,76.92733793045981,38.70000000000001,10.405867762750049,99.99868000000569,Europe
Austria_1994,Austria,1994,0.76754,7.71,23.9,448.98,76.7,39.4,8.8,99.99889,8,5.749575712848431,18.344115129038457,344.60840211864803,77.05587020567597,39.40000000000001,10.388698651607188,99.99889000000148,Europe
Austria_1995,Austria,1995,0.77873,8.05,23.8,449.243,77,40.4,8.9,99.99897,7,5.799249928764124,18.533879264873523,349.84098834409986,77.2179941133229,40.400000000000006,10.457702432965348,99.99896999999035,Europe
Austria_1996,Austria,1996,0.79229,8.45,23.4,448.18,77.3,41.3,8.9,99.99886,7.55,5.795962338768279,18.539689944361527,355.09052304546805,77.39290034166811,41.300000000000004,10.383840225264679,99.99886000000204,Europe
Austria_1997,Austria,1997,0.79963,8.41,23.6,448.75,77.7,42.1,8.9,99.99911,8.1,6.089084112325548,18.871167550376356,358.8320524674317,77.70000000000002,42.10000000000001,10.677741669883881,99.99910999998188,Europe
Austria_1998,Austria,1998,0.78173,8.35,25.1,447.91,77.9,43.6,9,99.9989,8.266666666666666,5.929117362421933,19.621380124368216,350.1439191834968,78.0766976363144,43.600000000000016,10.393084887804413,99.99889999999542,Europe
Austria_1999,Austria,1999,0.80704,8.17,24.6,448.63,78.2,45.1,9,99.999182,8.433333333333334,6.069819687692863,19.853122403055927,362.06123185703177,78.25792972730181,45.10000000000001,10.647192688086633,99.99918199996159,Europe
Austria_2000,Austria,2000,0.81972,8.22,24.6,445.69,78.5,46.5,9,99.999125,8.6,6.071315555621646,20.165199518743794,365.3425924190618,78.54791597470211,46.500000000000014,10.58797457848086,99.99912499996455,Europe
Austria_2001,Austria,2001,0.82289,8.69,24.5,447.12,78.9,46.9,9.2,99.999055,8.566666666666666,6.332417234231441,20.16085743568897,367.9315337406225,78.90000000000002,46.900000000000006,10.670470140114032,99.99905499998526,Europe
Austria_2002,Austria,2002,0.82094,8.87,24.8,449.9355,79,47.4,9.4,99.99916,8.533333333333333,6.390387364987417,20.35943580870292,369.372295576881,79,47.4,10.757379545267309,99.99915999997333,Europe
Austria_2003,Austria,2003,0.79819,9.52,26.6,447.64,79.1,47.6,9.6,99.999393,8.5,7.55691011498626,21.231882980193646,357.30225929525875,80.28412602865409,47.6,11.417817480126205,99.99939299999943,Europe
Austria_2004,Austria,2004,0.7678,9.49,28.7,448.94,79.5,48.6,9.8,99.999307,8.5,6.949905627735056,22.035899349644172,344.69674752715173,80.08955774586678,48.6,10.991696293297434,99.99930699997623,Europe
Austria_2005,Austria,2005,0.77743,9.63,29.4,424.3,79.8,49.4,9.9,99.999207,8.8,6.342759318618384,22.856517572337257,329.86463965791495,79.88720716936251,49.400000000000006,10.553082410141426,99.99920699995562,Europe
Austria_2006,Austria,2006,0.75942,9.31,30.4,446.88,80.1,50.8,10.1,99.999202,8.6,6.3490918798285705,23.086346598195675,339.36929499334644,80.10690655832728,50.800000000000004,10.67939847398289,99.99920199995132,Europe
Austria_2007,Austria,2007,0.79501,8.96,31.4,432.3,80.3,52.6,11.6,99.999391,8,6.781622315887141,24.963252325714144,343.6819738982874,81.19644075021922,52.60000000000001,11.600000000000001,99.9993909999707,Europe
Austria_2008,Austria,2008,0.80401,8.85,32.2,448.54,80.5,53.2,11.5,99.999508,8,6.7199021098947,25.889280719560844,360.63285633390745,81.6505493647194,53.199999999999996,12.166370329423348,99.99950799997573,Europe
Austria_2009,Austria,2009,0.79158,8.1,30.5,446.44,80.5,51,11.7,99.999366,7.7,6.411789142839782,24.143156641529103,353.3924871527884,80.7477941405929,51.00000000454685,11.700000006842671,99.99936606391522,Europe
Austria_2010,Austria,2010,0.8386,8.6,30.1,455.61,80.8,51.8,11.8,99.999572,8,6.64570416778536,25.241762182060082,382.0730655518287,81.53852386520069,51.80000000482326,12.326054227492515,99.99957204939841,Europe
Austria_2011,Austria,2011,0.81363,8.3,31.2,444.68,81,53.2,11.8,99.999491,7.8,6.753151179561675,25.385339373774002,361.8061766900584,81.57607329638348,53.20000000000001,12.006103102437422,99.99949099997492,Europe
Austria_2012,Austria,2012,0.87685,7.95,31.1,448.73,81.2,53.3,11.8,99.999631,7.8,5.9498637425113365,27.270073816089457,393.46944895291983,81.88547095738971,53.30000120524275,12.726808630348081,99.99963207607757,Europe
Austria_2013,Austria,2013,0.85103,7.97,31.3,449.895,81.3,53,11.9,99.999599,8.1,6.233963723123472,26.637249858314647,382.8742979230481,81.7514734209066,52.99999999998708,12.563806665939651,99.99959899983823,Europe
Austria_2014,Austria,2014,0.8417,7.49,31.9,449.613,81.5,52.9,12.1,99.999598,8,6.191810184980179,26.850276991993415,378.43992442636784,81.76147192027243,52.9,12.559155854653127,99.99959799996991,Europe
Austria_2015,Austria,2015,0.80163,7.7,32.4,452.09,81.6,52.9,12.1,99.999492,7.9,6.172574803350407,25.97291215955236,362.4103042503966,81.6,52.89999999999999,12.099999999999998,99.99949199996588,Europe
Austria_2016,Austria,2016,0.82774,7.7,32.3,457.31,81.8,53.3,12.1,99.999583,7.7,6.308898503056544,26.736048605085127,378.5344392443182,81.8,53.29999999999999,12.510307068199365,99.99958299996952,Europe
Azerbaijan_1995,Azerbaijan,1995,0.87872,4.29,4.58,436.3,64.7,2.98,10.2,99.99084,7.1,1.878980867367376,4.024527491280585,383.3845730231036,70.94543638130068,10.72151005452862,10.775422557287794,99.99456321650513,Asia
Azerbaijan_1996,Azerbaijan,1996,0.89969,3.98,4.18,430.3,65.3,2.99,10.3,99.99225,7.1499999999999995,1.8328357344763482,3.7607182585514227,387.13805422364067,70.85263052744357,10.523438301616556,10.784015691904692,99.99451677920855,Asia
Azerbaijan_1997,Azerbaijan,1997,0.94155,3.76,3.24,421.9,65.7,3.13,10.4,99.99371,7.2,1.7086283713273753,3.0506314710874403,397.24117828772256,70.60282800939373,9.990294964450708,10.807145554690994,99.9943917854526,Asia
Azerbaijan_1998,Azerbaijan,1998,0.9396,3.97,2.95,427,66,3.41,10.5,99.99403,7.25,1.659857870762841,2.7718131531534036,401.20820894778944,70.5047420864233,9.780954175247249,10.816227584583435,99.99434270609254,Asia
Azerbaijan_1999,Azerbaijan,1999,0.92129,3.55,2.83,438.9,66.2,3.63,10.5,99.995,7.3,1.9925393783780576,2.6072595657316433,404.35555597159646,69.74268055516934,8.666759963389993,10.784657019397674,99.9949999999983,Asia
Azerbaijan_2000,Azerbaijan,2000,0.91872,3.64,2.56,447.54,66.5,4,10.6,99.99675,7.35,2.6541157275197107,2.3519205863540025,411.1634919074677,67.85364714225136,5.627763062517747,10.676407197445029,99.99675000586055,Asia
Azerbaijan_2001,Azerbaijan,2001,0.94299,3.52,2.67,435.6,67.1,4.36,10.6,99.99718128571428,7.4,2.5602409186075348,2.517793922121027,410.768176957273,67.55901206110852,4.8133916682275295,10.62141949269048,99.99718128570868,Asia
Azerbaijan_2002,Azerbaijan,2002,0.96866,3.58,3.04,417.5,67.2,4.74,10.6,99.99761257142858,10.9,2.9792019702941244,2.944711569853409,404.41351329401266,67.31586105074183,4.787675962474642,10.601433210704062,99.99761257142153,Asia
Azerbaijan_2003,Azerbaijan,2003,1,3.67,3.51,394.9,67.1,5.18,10.6,99.99804385714285,10.2,3.6700000013217786,3.5100000059230734,394.90000047779455,67.10000009357937,5.180000017660747,10.600000013910973,99.9980439853069,Asia
Azerbaijan_2004,Azerbaijan,2004,1,3.8,3.68,395.6,67.2,5.61,10.6,99.99847514285716,10.7,3.7999999805913434,3.679999997581597,395.5999997401654,67.20000001564297,5.61,10.600000000645407,99.99847514280233,Asia
Azerbaijan_2005,Azerbaijan,2005,1,4.02,3.51,416.2,67.3,7.11,10.7,99.99890642857144,10.8,0,0,0,0,0,0,0,Asia
Belarus_1998,Belarus,1998,1,5.96,0.03,448.67,68.4,7.29,8.8,99.9885,7.9,5.7100000000007505,0.030000000000003954,447.78250000005903,68.40000000000902,8.030000000001078,8.900000000001178,99.98975000001317,Europe
Belarus_1999,Belarus,1999,1,5.75,0.03,446.34,68.2,7.58,8.8,99.9896,7.6,5.750000000000198,0.030000000000001033,446.3400000000153,68.20000000000235,7.580000000000261,8.800000000000304,99.98960000000343,Europe
Belarus_2000,Belarus,2000,1,5.62,0.07,449.067,69,8.05,8.9,99.9896,7.9,5.6200000000002195,0.07000000000000274,449.0670000000176,69.0000000000027,8.050000000000315,8.900000000000349,99.9896000000039,Europe
Belarus_2001,Belarus,2001,1,5.67,0.03,449.225,68.6,8.48,9,99.9899,8.2,5.670000000000045,0.03000000000000024,449.2250000000036,68.60000000000055,8.480000000000068,9.000000000000071,99.9899000000008,Europe
Belgium_1990,Belgium,1990,0.91714,12.1,15.3,446.08,76.2,35.5,9.1,99.99866,9.55,5.816904772617696,14.032230491459634,409.1174756621119,76.20000000000002,35.50000000000001,11.154128525626128,99.99866000000756,Europe
Belgium_1991,Belgium,1991,0.88767,12.3,16.7,445.55,76.4,36,9.5,99.99869,9.525,5.826172579348752,14.824016194169841,395.4994260767569,76.40000001557807,36.00000000807904,11.04490884559987,99.99869002072234,Europe
Belgium_1992,Belgium,1992,0.8072,12.2,20.2,445.19,76.5,36.4,9.5,99.99838,9.5,5.208174110873428,16.305418462445942,359.3568933315005,76.59514377986133,36.400000000000006,10.483583506667166,99.99838000000521,Europe
Belgium_1993,Belgium,1993,0.81362,12,19.5,445.22,76.6,35.9,9.6,99.99815,9.2,5.00696128271664,15.865640198045075,362.24104251146815,76.69493890767657,35.9,10.531265240370846,99.99815000000417,Europe
Belgium_1994,Belgium,1994,0.80439,12.3,20.5,446.52,76.8,37,9.7,99.99831,8.9,5.186312494639051,16.489922996758036,359.17465446401945,76.84058367880294,37,10.490713952921498,99.99831000000444,Europe
Belgium_1995,Belgium,1995,0.81628,12.4,20.4,446.29,77,37.8,9.7,99.99845,8.6,5.43036250955877,16.65215670576628,364.2985792262959,77,37.8,10.596029033620834,99.99845000000461,Europe
Belgium_1996,Belgium,1996,0.81553,12.7,20.4,444.96,77.3,38.2,9.8,99.9981,8.8,5.08012933067101,16.636877209066775,362.87965112482124,77.34491157030808,38.2,10.522448882597038,99.99810000000232,Europe
Belgium_1997,Belgium,1997,0.84732,12.1,19.6,445.25,77.5,39.6,9.8,99.99825,9,5.344260721619655,16.607478612428395,377.26938022299066,77.50000000661255,39.600000003429386,10.642935847288959,99.99825000879576,Europe
Belgium_1998,Belgium,1998,0.82355,12.7,21.1,441.22,77.7,40.3,9.9,99.99811,8.8,5.18812375081941,17.37691727229057,363.36698762464664,77.8719671152252,40.300000000000004,10.50461366869887,99.99811000000116,Europe
Belgium_1999,Belgium,1999,0.85685,12.2,21.7,403.7,77.8,41.6,10,99.99766,8.6,5.3570617672121426,18.593539355394594,345.9083796211635,78.05249838087008,41.60000000000562,10.374648410385248,99.99797820747135,Europe
Belgium_2000,Belgium,2000,0.83129,12.3,23.3,412.5,78,43,10,99.99829,8.4,5.510309167911878,19.369003591548456,342.9061794641089,78.70498195853895,43.00000000000001,10.422375322398663,99.99829,Europe
Belgium_2001,Belgium,2001,0.86535,12.2,21.7,412.7,78.3,43.3,10.2,99.99815,8.433333333333334,5.451527272156099,18.778155766258486,357.13110068874255,78.42713233600281,43.30000000016741,10.410635435653907,99.99815000298386,Europe
Belgium_2002,Belgium,2002,0.83643,12.2,22,442.99,78.5,43.9,10.3,99.99819,8.466666666666667,5.416764795618084,18.401473716018486,370.53040201708956,78.52826215766956,43.900000002313604,10.460378143872047,99.99819004124035,Europe
Belgium_2003,Belgium,2003,0.83729,12.3,22.6,439.1,78.7,44.2,10.4,99.9986,8.5,5.991272074878247,18.92273528368727,367.6536754079087,78.70000002429308,44.20000001259881,10.689262038387055,99.99860003230603,Europe
