dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Spain_1995,Spain,1995,1.00001,6.72,17.8,59.85,51.45706,78.1,29,7.7,99.999179,6.2,5.246574107490832,17.799999999999997,59.849999999999994,51.45705999998731,78.38122142070718,29.000195754123325,8.727241629871301,99.9998540087207,7.607403570638464,Europe
Spain_1996,Spain,1996,1.00001,6.39,17.5,60.03,54.986593,78.3,29.7,7.9,99.999191,6.38,5.160740608623277,17.499999999999996,60.029999999999994,54.986592999982406,78.50977058733487,29.7001964987215,9.07759617964619,99.99985260655029,7.513577927961475,Europe
Spain_1997,Spain,1997,1.00001,6.68,18.1,60.1,53.855313,78.8,30.7,8,99.99921,6.56,5.269275706136165,18.100001913652505,60.10000405364391,53.85531409196346,78.80050440387853,30.700198726023867,9.103984007028767,99.9998497664278,7.55970565294379,Europe
Spain_1998,Spain,1998,1.00001,6.86,20.9,61.04,52.225006,79,31.9,8.1,99.999196,6.74,5.684631147331466,20.899999999999995,60.93752122214008,52.2250059999824,79.00051355120584,32.47235564800744,8.88182095489345,99.99984605956703,7.563511624081276,Europe
Spain_1999,Spain,1999,1.00001,7.4,22,61.59,50.889013,79.1,33.2,8.2,99.999224,6.92,5.80161158506777,22,61.290392465045116,50.88901299998319,79.10048740335606,34.02075305407363,8.999209010777207,99.99984018148456,7.5677467188022565,Europe
Spain_2000,Spain,2000,1.00001,7.62,23.5,65.27,48.593549,79.5,34.8,8.4,99.999085,7.1,5.945830231478078,23.499999999999996,61.53565949282559,48.59354899998374,79.5005828377856,37.38864875215326,9.407577196484901,99.99981812255496,7.640045417927835,Europe
Spain_2001,Spain,2001,1.00001,7.57,24,63.1,45.006153,79.8,35.9,8.5,99.999088,7.133333333333333,5.810653444386116,24,61.88955296240813,45.00615299998593,79.80056312029483,39.97244095198163,9.762748109243189,99.99979365805939,7.663410342467319,Europe
Spain_2002,Spain,2002,1.00001,7.95,24.8,64.05,42.902283,79.9,36.3,8.5,99.999053,7.166666666666667,5.8196224386322655,24.799999999999997,62.30257047060289,42.902282999987456,79.90058438690104,41.515221528412425,9.900538815269323,99.99978439097859,7.655022979838577,Europe
Spain_2003,Spain,2003,1.00001,7.91,26.9,61.89,39.949777,80,36.8,8.6,99.999062,7.2,6.456169677613306,26.899999999999995,61.89,39.94977699998914,80.00057085655594,43.12420559002091,10.002374819099423,99.999775563966,7.85120328626887,Europe
Spain_2004,Spain,2004,1.00001,8.17,28.3,60.86,38.622862,80.3,37.3,8.6,99.99874,6.9,7.070615664689546,28.300000003054024,60.86000004266648,38.6228620058595,80.30081950639457,44.71789674240185,10.249183934826604,99.99976054301158,8.123375969131374,Europe
Spain_2005,Spain,2005,1.00001,8.37,30.1,60.84,35.778727,80.6,38,8.9,99.999196,7,7.418609494664952,30.1,60.83999999999999,35.778726999989814,80.60044013028619,47.54978357997779,10.557647102766824,99.99974206292129,8.252844445280259,Europe
Spain_2006,Spain,2006,1,8.04,31.2,61.11,32.512593,81,38.9,9,99.999239,6.7,7.439043622111481,31.199999999999992,61.109999999999985,32.51259299999126,81.00038608694044,50.85572695587141,10.989836580863363,99.99971564693588,8.317342601386876,Europe
Spain_2007,Spain,2007,1,8.09,31.8,63.13,29.647376,81.2,39.5,9.1,99.999332,6.7,6.783058329488349,31.800000001199148,63.130000016752874,29.647376002299044,81.20029829625133,54.27524090428518,11.302982457460867,99.99969935745924,8.037053911126915,Europe
Spain_2008,Spain,2008,1,7.29,29.3,63.04,33.244367,81.4,39.2,9.2,99.99926,6.6,6.117831896169898,29.30000000118668,63.0400000165787,33.244367002271716,81.40035403449869,53.54929934511536,11.45848154759236,99.99969492860711,7.927668640527899,Europe
Spain_2009,Spain,2009,1,6.37,25,59.14,45.605446,81.8,37.4,9.3,99.999364,6.3,6.179234186407025,25,59.14,45.605445999975906,81.80024744932743,50.10232997268697,11.588302272432676,99.99966650333218,7.998801008603313,Europe
Spain_2010,Spain,2010,1,6.04,24.8,61.07,51.382619,82.1,37.3,9.4,99.999389,6.3,5.7938114794096585,24.8,60.21393863913508,51.382618999967846,82.10021045108056,49.15390746282124,11.624542808651974,99.99964533346177,8.101917764195774,Europe
Spain_2011,Spain,2011,1,6.04,23.3,60.31,58.640146,82.3,36.9,9.5,99.999347,6,5.427795919857319,23.299999999999997,59.98615062726351,58.64014599995767,82.30021245900974,47.4060944901352,11.600083386060762,99.99960515025435,8.028602501635289,Europe
Spain_2012,Spain,2012,1,5.93,22.8,60.07,73.820514,82.4,35.8,9.5,99.999432,6.1,5.930000000000001,22.800000000000004,58.826222041179115,73.82051399994104,82.40015843591178,45.158769867172296,11.725509171407944,99.9996242754954,8.01426520665843,Europe
Spain_2013,Spain,2013,1,5.37,22.8,62,83.250475,82.7,35.4,9.5,99.999412,5.7,5.37,22.800000013883448,59.72770014350942,67.91051227299403,82.70012939980344,47.184266868347365,11.798044627664964,99.9995684679964,8.00369253564618,Europe
Spain_2014,Spain,2014,1,5.45,22.8,60.9,87.330945,82.8,36,9.7,99.999437,5.7,5.45,22.800000000000004,58.1539489350667,79.96506971940101,82.80006584849663,46.678568534354234,11.450490979506275,99.99951652677396,7.5098389963485435,Europe
Spain_2015,Spain,2015,1,5.81,23.3,60.43,87.165233,82.8,37.4,9.7,99.999443,5.8,5.81,23.299999999999997,59.798753736357796,76.92782781763295,82.8001205362596,47.16167194382027,11.899814382917656,99.99958857443363,7.9737497395758,Europe
Sweden_1990,Sweden,1990,1,6.71,20.1,59.257,40.209948,78,34.2,10.54,99.99877,9.94,6.710000000000004,20.100000000000016,59.25700000000004,40.209948000000026,78.00000000000006,34.200000000000024,10.540000000000006,99.99877000000006,9.940000000000007,Europe
Sweden_1991,Sweden,1991,1,6.69,19.9,60.82,42.099949,78.1,33.5,10.6,99.9986,9.82,6.690000000000001,19.9,60.82,42.09994899998857,78.10036728290257,33.50015754132185,11.290151619981073,99.99907026600552,9.82004618076957,Europe
Sweden_1992,Sweden,1992,1,6.61,19.6,58.49809,53.399871,78.3,33,10.7,99.99866,9.7,6.61000007109282,19.600000250661612,58.498090675381796,44.02812919456729,78.30025353778211,37.16446053733933,11.238537147833654,99.99898376145111,9.700031404200782,Europe
Sweden_1993,Sweden,1993,1,6.56,17.6,60.24,68.309959,78.5,32.1,10.8,99.99877,9.6,6.5600000000000005,17.6,60.239999999999995,58.391000957510634,78.50009452025964,34.1622814349537,11.053649328880674,99.99889040648942,9.600011559165512,Europe
