dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Italy_2009,Italy,2009,0.85747,7.06,22.8,59.255,109.79923,81.8,42.1,9.6,99.999219,6.7,6.053744777986332,19.550337243355287,50.80944005943037,51.96144854606255,81.79999999999951,42.1,12.318920588018658,106.0529667482698,8.453094100780588,Europe
Italy_2010,Italy,2010,0.87242,7.19,22.2,58.965,112.47503,82.1,42.7,9.7,99.999301,6.4,6.272708031671771,19.367749416288316,51.442312807722494,49.85070857588931,82.10000000000059,42.70000000000036,12.084015478449027,106.74481925942843,8.457016384322078,Europe
Italy_2011,Italy,2011,0.89348,6.95,20.4,60,113.19086,82.2,42.9,9.8,99.999294,6.4,6.209705838780951,18.227050231817483,53.60897127005141,48.434176126994856,82.2,42.89999999999999,11.780517861023926,106.79160655625881,8.422232300063932,Europe
Italy_2012,Italy,2012,0.90015,6.56,20.6,58.50167,120.03119,82.4,41.5,9.9,99.999302,6.3,5.904952187831381,18.542990102031656,52.65999455156927,52.98125413000742,82.4,41.5,12.311977834910536,106.8223629641414,8.526030220794432,Europe
Italy_2013,Italy,2013,0.90068,6.06,20.3,59.412,126.33878,82.6,40.3,10.3,99.999394,6.2,5.458105070223279,18.283751307843534,53.51104594589218,50.35898763977765,82.60000000000915,40.30000000000634,12.659569411127878,107.10257849266311,8.666462463346788,Europe
Italy_2014,Italy,2014,0.90372,5.77,20.5,59.288,129.81138,82.8,39.9,10.1,99.999442,6.2,5.21448696616698,18.52634017442372,53.579983232255636,49.77628976056881,82.79999999999998,39.9,12.959895920808329,107.22330811154711,8.747388003102694,Europe
Italy_2015,Italy,2015,0.89762,5.88,20.9,59.224,130.0347,82.7,40.2,10.2,99.999436,5.9,5.277992702385259,18.760212156436882,53.1605169738205,50.532979941281,82.7000000000176,40.20000000001221,12.946012116724813,107.00158087545881,8.7140988094106,Europe
Japan_2008,Japan,2008,0.77396,9.59,26.1,58.982,143.26374,83.1,38.8,11.4,99.999598,6.4,7.422282149487426,20.200371647718647,45.64974408144611,56.222509971591826,83.10000000000001,38.8,12.202370381484224,111.11336597450443,8.782990185129277,Asia
Japan_2009,Japan,2009,0.79576,9.05,23.5,58.731,158.08086,83.3,36.6,11.4,99.999673,7.3,7.201601794436068,18.700291952403045,46.73561049602471,60.83482924409949,83.29999999999976,36.6,12.24249578120798,111.55682131654048,8.854488997499413,Asia
Japan_2010,Japan,2010,0.79701,9.46,24,58.629,165.7596,83.3,38.1,11.5,99.999706,8.2,7.539720893961162,19.12825596776615,46.727938297256635,56.28426509295088,83.29999999999978,38.1,11.925168729957758,111.8431406874531,8.803463923011982,Asia
Japan_2011,Japan,2011,0.77423,9.85,25.7,58.4863,177.92473,83.2,38.1,11.8,99.999735,8.033333333333333,7.62616317889216,19.89770494391152,45.28183426696857,56.65517235406942,83.20000000000043,38.10000000000026,12.073255617446534,111.82488354927196,8.81731413378237,Asia
Japan_2012,Japan,2012,0.76635,10.2,26.7,58.50872,185.02924,83.6,38.7,12,99.999738,7.866666666666666,7.8167602228348585,20.461519406832412,44.83810148872375,55.81629394491937,83.60000000000069,38.70000000000042,12.104174711774402,112.53285184465084,8.857289883807239,Asia
Japan_2013,Japan,2013,0.79577,10.3,25.4,58.704,189.12759,83.9,39.6,12.2,99.99977,7.7,7.505680637418735,20.212458580496158,46.71465230352143,55.491030301403676,83.8999999999996,39.6,12.199999999999998,112.12278214074912,8.842610923549532,Asia
Jordan_2008,Jordan,2008,0.78514,3.16,7.97,71,54.24031,76.2,11.7,9.8,99.99792,8.4,2.481037537031951,6.257553534856234,55.74483073711802,42.58615352223418,76.20000000000745,11.7,10.474848713953365,103.97345467733994,8.400000000001532,Asia
Jordan_2009,Jordan,2009,0.81641,3.1,7.85,68.33,57.964557,76.7,11.7,9.9,99.9976,8.3,2.530869030370535,6.408813512389767,55.785251885552,47.32280715175614,76.69999999999618,11.699999999999747,10.289446933212961,104.1839888680544,8.300000000000841,Asia
