dmu,country,continent,efficiency_crs,efficiency_vrs,income,hdi,hpi,cluster
Denmark_1993,Denmark,Europe,0.9443,0.94789,40,0.822,NA,4
Denmark_1994,Denmark,Europe,0.93881,0.94126,42,0.831,NA,2
Denmark_1995,Denmark,Europe,0.96513,1,43,0.837,NA,2
Denmark_1996,Denmark,Europe,0.99562,1,44,0.844,NA,2
Denmark_1997,Denmark,Europe,1,1,45.3,0.85,NA,2
Denmark_1998,Denmark,Europe,0.93889,1,46.1,0.856,NA,2
Denmark_1999,Denmark,Europe,0.90732,1,47.3,0.868,NA,2
Denmark_2000,Denmark,Europe,0.82084,1,48.9,0.87,NA,2
Denmark_2001,Denmark,Europe,0.95319,1,49.1,0.883,NA,2
Denmark_2002,Denmark,Europe,0.95477,0.98586,49.2,0.89,NA,2
Denmark_2003,Denmark,Europe,0.97199,1,49.3,0.901,NA,2
Denmark_2004,Denmark,Europe,1,1,50.4,0.905,NA,2
Denmark_2005,Denmark,Europe,0.93456,1,51.5,0.91,NA,2
Denmark_2006,Denmark,Europe,0.98317,1,53.3,0.912,NA,2
Denmark_2007,Denmark,Europe,0.94722,1,53.6,0.911,41.92387085,2
Denmark_2008,Denmark,Europe,0.96685,1,53,0.917,43.24068337,2
Denmark_2009,Denmark,Europe,0.92378,0.92505,50.1,0.914,44.58598385,2
Denmark_2010,Denmark,Europe,0.99023,0.99031,50.8,0.917,44.96441645,2
Denmark_2011,Denmark,Europe,0.92801,0.96316,51.3,0.93,45.90656542,2
Denmark_2012,Denmark,Europe,1,1,51.2,0.931,45.38651482,2
Denmark_2013,Denmark,Europe,0.97105,1,51.5,0.933,45.18131542,2
Denmark_2014,Denmark,Europe,0.95262,0.98102,52,0.935,44.43366351,2
Denmark_2015,Denmark,Europe,0.98909,1,52.9,0.933,44.20832842,2
El Salvador_1991,El Salvador,Americas,1,1,5.29,0.54,NA,5
El Salvador_1992,El Salvador,Americas,1,1,5.59,0.552,NA,5
El Salvador_1993,El Salvador,Americas,1,1,5.83,0.562,NA,5
Estonia_2003,Estonia,Europe,1,1,22.1,0.813,NA,5
Estonia_2004,Estonia,Europe,1,1,23.7,0.821,NA,2
Estonia_2005,Estonia,Europe,1,1,26.1,0.832,NA,2
Estonia_2006,Estonia,Europe,1,1,28.8,0.839,29.19972805,2
Estonia_2007,Estonia,Europe,1,1,31.1,0.846,29.55512133,2
Estonia_2008,Estonia,Europe,1,1,29.6,0.848,33.19019837,2
Estonia_2009,Estonia,Europe,0.99929,1,25.3,0.846,33.23223107,2
Estonia_2010,Estonia,Europe,0.94454,1,26,0.852,34.78693265,2
Estonia_2011,Estonia,Europe,1,1,28,0.86,35.85437635,2
Estonia_2012,Estonia,Europe,0.89744,0.89798,29,0.865,32.86366135,2
Estonia_2013,Estonia,Europe,0.91421,0.91461,29.5,0.869,35.43899157,2
Estonia_2014,Estonia,Europe,0.88686,0.89454,30.5,0.871,34.68496861,2
Estonia_2015,Estonia,Europe,1,1,31,0.877,34.42629032,2
Finland_1990,Finland,Europe,1,1,32.9,0.79,NA,2
Finland_1991,Finland,Europe,0.99585,1,30.8,0.793,NA,2
Finland_1992,Finland,Europe,0.88415,1,29.6,0.801,NA,2
Finland_1993,Finland,Europe,0.85841,0.99451,29.3,0.805,NA,2
Finland_1994,Finland,Europe,0.85041,1,30.3,0.815,NA,2
Finland_1995,Finland,Europe,0.85837,1,31.5,0.823,NA,2
Finland_1996,Finland,Europe,0.8505,0.97696,32.5,0.83,NA,2
Finland_1997,Finland,Europe,0.84519,0.92595,34.5,0.838,NA,2
Finland_1998,Finland,Europe,0.78238,0.82195,36.3,0.846,NA,2
Finland_1999,Finland,Europe,0.77949,0.82006,37.8,0.854,NA,2
Finland_2000,Finland,Europe,0.74986,0.76707,39.9,0.864,NA,2
Finland_2001,Finland,Europe,0.77638,0.82008,40.8,0.871,NA,2
Finland_2002,Finland,Europe,0.75044,0.79122,41.4,0.874,NA,2
Finland_2003,Finland,Europe,0.74698,0.79615,42.2,0.877,NA,2
Finland_2004,Finland,Europe,0.76041,0.80081,43.7,0.904,NA,2
Finland_2005,Finland,Europe,0.76182,0.80582,44.8,0.908,NA,2
Finland_2006,Finland,Europe,0.77581,0.81864,46.4,0.912,44.59294169,2
Finland_2007,Finland,Europe,0.74409,0.77541,48.7,0.915,44.39006127,2
Finland_2008,Finland,Europe,0.77007,0.8109,48.8,0.917,44.08706832,2
Finland_2009,Finland,Europe,0.82883,0.90225,44.7,0.912,47.60378582,2
Finland_2010,Finland,Europe,0.77095,0.81928,45.9,0.916,45.83405741,2
Finland_2011,Finland,Europe,0.82282,0.9035,46.8,0.92,46.67670916,2
Finland_2012,Finland,Europe,0.79133,0.88395,46,0.921,48.90092187,2
Finland_2013,Finland,Europe,0.80181,0.91288,45.3,0.928,47.30906272,2
Finland_2014,Finland,Europe,0.75847,0.86784,45,0.928,48.20441868,2
France_1990,France,Europe,0.90127,0.97074,33.7,0.786,NA,5
France_1991,France,Europe,0.89641,0.96323,33.9,0.796,NA,4
France_1992,France,Europe,0.86307,0.92853,34.3,0.804,NA,4
France_1993,France,Europe,0.85632,0.91938,33.9,0.81,NA,4
France_1994,France,Europe,0.8528,0.91714,34.6,0.825,NA,4
France_1995,France,Europe,0.81869,0.88154,35.2,0.832,NA,4
France_1996,France,Europe,0.83599,0.90768,35.5,0.837,NA,4
France_1997,France,Europe,0.85912,0.93958,36.3,0.841,NA,4
France_1998,France,Europe,0.84125,0.91751,37.4,0.845,NA,4
France_1999,France,Europe,0.83828,0.90945,38.5,0.851,NA,4
France_2000,France,Europe,0.84391,0.91234,39.7,0.849,NA,4
France_2001,France,Europe,0.85194,0.92546,40.2,0.851,NA,4
France_2002,France,Europe,0.84895,0.91952,40.4,0.852,NA,4
France_2003,France,Europe,0.84721,0.91814,40.4,0.855,NA,4
France_2004,France,Europe,0.85524,0.93553,41.3,0.858,NA,4
France_2005,France,Europe,0.8466,0.9311,41.6,0.867,NA,4
France_2006,France,Europe,0.85299,0.94103,42.4,0.871,46.45356597,4
France_2007,France,Europe,0.85277,0.93434,43.1,0.874,47.22884585,4
France_2008,France,Europe,0.85943,0.93406,43,0.875,48.33942309,4
France_2009,France,Europe,0.87836,0.94783,41.5,0.876,45.7927966,4
France_2010,France,Europe,0.89181,0.96315,42.1,0.879,48.8285616,4
France_2011,France,Europe,0.91425,0.97598,42.9,0.882,50.39587105,4
France_2012,France,Europe,0.91636,0.9807,42.8,0.885,49.01504863,4
France_2013,France,Europe,0.91813,0.98871,42.8,0.889,49.90331992,4
France_2014,France,Europe,0.93887,1,43,0.893,49.15098549,4
Germany_1991,Germany,Europe,0.92231,0.97496,38.3,0.816,NA,2
Germany_1992,Germany,Europe,0.91048,0.95694,38.7,0.821,NA,2
Germany_1993,Germany,Europe,0.91664,0.95759,38.1,0.831,NA,2
Germany_1994,Germany,Europe,0.88818,0.93741,38.9,0.837,NA,2
Germany_1995,Germany,Europe,0.88212,0.92221,39.4,0.842,NA,2
Germany_1996,Germany,Europe,0.90698,0.93873,39.6,0.846,NA,2
Germany_1997,Germany,Europe,0.92042,0.9622,40.2,0.851,NA,2
Germany_1998,Germany,Europe,0.90348,0.93979,41,0.86,NA,2
Germany_1999,Germany,Europe,0.86662,0.90511,41.8,0.868,NA,2
Germany_2000,Germany,Europe,0.82066,0.89325,42.9,0.876,NA,2
Germany_2001,Germany,Europe,0.92674,0.96946,43.6,0.884,NA,2
Germany_2002,Germany,Europe,0.94351,0.97933,43.4,0.89,NA,2
Germany_2003,Germany,Europe,0.92659,0.96005,43.1,0.896,NA,2
Germany_2004,Germany,Europe,0.95082,0.98076,43.6,0.907,NA,2
Germany_2005,Germany,Europe,0.94038,0.97683,43.9,0.908,NA,2
Germany_2006,Germany,Europe,0.95496,0.99058,45.7,0.918,NA,2
Germany_2007,Germany,Europe,0.97008,1,47.1,0.921,45.01658586,2
Germany_2008,Germany,Europe,0.97506,1,47.6,0.924,45.62340759,2
Germany_2009,Germany,Europe,0.96079,1,45,0.924,47.90920128,2
Germany_2010,Germany,Europe,0.97148,0.99237,47,0.927,46.80879459,2
Germany_2011,Germany,Europe,1,1,49.8,0.933,46.8023979,2
Germany_2012,Germany,Europe,0.99601,1,49.9,0.934,47.91815756,2
Germany_2013,Germany,Europe,0.98971,0.99852,50,0.935,49.38705872,2
Germany_2014,Germany,Europe,1,1,50.8,0.937,49.99107707,2
