country,efficiency_crs,efficiency_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20
El Salvador,1,1,0.643,3.9299999999999997,0.3293333333333332,50.56318366666667,70.6,5.57,3.9,99.95317916666666,2.875
Estonia,0.9724876923076923,0.9774715384615384,13.292307692307693,25.16923076923077,8.953076923076924,5.2291355692307695,75.01538461538462,27.746153846153845,12.346153846153847,99.99467076923077,7.2846153846153845
Finland,0.8125928,0.8806092,11.4488,31.232,3.002039999999999,39.28920892,78.528,39.836,10.2384,99.9976916,9.831
France,0.8672008,0.9385068,6.7088,20.224,1.9617999999999998,51.6595424,79.776,39.22,9.7652,99.99921744,8.032
Germany,0.9374167999999999,0.9694436,10.9416,20.568,1.912568,39.34071208,78.844,44.024,11.964,99.99926868,8.512
Greece,0.7121752380952381,0.8052771428571428,8.996190476190476,31.02857142857143,0.6423614285714282,123.74622285714285,79.41428571428571,30.904761904761905,9.495238095238095,99.9989269047619,6.538095238095238
Hungary,0.760503076923077,0.8485576923076923,5.264615384615385,14.453846153846154,15.176153846153847,69.64103207692308,74.71538461538462,25.423076923076923,11.592307692307692,99.99876738461539,8.092307692307692
Iceland,0.7378878571428571,0.8668064285714285,10.885714285714286,40.4,8.038785714285714,100.64868457142857,82.50714285714285,49.535714285714285,10.92142857142857,99.99933892857143,9.292857142857143
Ireland,0.8326033333333334,0.8855775,10.326666666666666,20.6875,11.651250000000001,63.76667016666667,77.85416666666667,45.016666666666666,11.030416666666667,99.99916316666666,7.464583333333334
Israel,0.7292685714285714,0.8786695238095238,9.322857142857142,24.133333333333333,3.176666666666667,78.93475738095238,80.21904761904761,31.295238095238094,12.3,99.9973889047619,5.303809523809524
Italy,0.8780976923076923,0.9429357692307693,7.632692307692308,20.06923076923077,0.8468719230769228,109.84360411538461,80.16923076923077,41.323076923076925,8.83423076923077,99.998865,6.526923076923077
Japan,0.7838466666666667,0.9881416666666667,9.741666666666667,25.233333333333334,0.17350333333333268,169.86429333333334,83.4,38.31666666666667,11.716666666666667,99.99970333333333,7.583333333333333
Jordan,0.81935,0.9441233333333333,3.033333333333333,8.073333333333334,9.516666666666666,57.214030666666666,76.60000000000001,11.566666666666666,9.833333333333334,99.99761666666667,8.3
Kazakhstan,0.934653125,0.9423931249999999,12.5425,16.125,8.24,11.94646403125,66.625,18.4625,11.393749999999999,99.9892425,8.571250000000001
Kyrgyzstan,0.91326375,0.91951,1.2813125,7.541875,5.66725,74.540912625,68.83125,3.91375,10.3375,99.993590625,8.7875
Latvia,0.9515108333333333,0.9730116666666667,3.6691666666666665,17.28333333333333,4.156833333333332,25.265314308333334,72.83333333333333,23.133333333333333,12.408333333333333,99.9936925,6.408333333333333
Lithuania,0.8907784615384615,0.8979446153846153,4.415384615384616,29.161538461538463,3.2325384615384607,27.74808223076923,72.94615384615385,25.946153846153845,12.084615384615384,99.99560230769231,6.392307692307693
Luxembourg,0.9180635714285714,0.9921692857142858,22.15,101.25,24.19285714285714,7.9202181157142855,80.54285714285714,111.92857142857143,11.564285714285715,99.99907328571429,7.973809523809524
Malaysia,0.735175,0.8490275,7.51875,21.7625,3.3533375000000003,47.2642515,74.65,21.2125,9.75,99.99927325,5.25
Malta,0.596668,0.806864,6.017,27.52,125.467,59.8419863,81.14,33.57,10.48,99.99914195,8.46
Mexico,0.8904183333333333,0.890525,3.8,8.645,1.5578333333333336,28.753260833333332,71.65,15.383333333333333,5.976666666666667,99.97963333333334,3.841666666666667
Moldova,0.9938455,0.9939705,1.17585,0.931,5.401,38.97240965,70.135,7.5975,10.405,99.9924905,7.7299999999999995
Mongolia,1,1,8.29,13.4,-37.2,78.80291,67.8,11,10.1,99.99602,8
North Macedonia,0.853008,0.94264,4.176,12.58,3.5980000000000003,28.2611898,73.56,13.64,9.200000000000001,99.9986828,4.54
Norway,0.9416142307692308,0.9840842307692308,9.155,31.576923076923077,2.4367692307692304,21.244903461538463,79.61538461538461,56.43076923076923,12.16423076923077,99.99909546153846,9.507307692307693
Poland,0.7711616666666666,0.8486391666666666,8.488333333333333,21.208333333333332,3.5669166666666654,46.615568083333336,76.25,23.258333333333333,11.866666666666667,99.99905433333333,7.025
Portugal,0.8126375,0.8746208333333333,5.5175,20.308333333333334,4.444166666666668,91.54090158333334,79.75833333333334,31.125,7.958333333333333,99.99893429166667,6.658333333333333
